종목번호 : 005387, 종목명 : 현대차2우B, 잔고수량 : 4, 평단 : 110500, 매입액 : 442000, 손액 : 6832, 손익 : 1.54
종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 2, 평단 : 71900, 매입액 : 143800, 손액 : 1424, 손익 : 0.99
종목번호 : 091990, 종목명 : 셀트리온헬스케어, 잔고수량 : 188, 평단 : 159244, 매입액 : 29938000, 손액 : -7962872, 손익 : -26.59
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 3, 평단 : 26560, 매입액 : 79680, 손액 : 487, 손익 : 0.61
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 16, 평단 : 34707, 매입액 : 555315, 손액 : -9879, 손익 : -1.77
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 3, 평단 : 30170, 매입액 : 90510, 손액 : 64, 손익 : 0.07
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 101, 평단 : 15633, 매입액 : 1579015, 손액 : -92249, 손익 : -5.84
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 34, 평단 : 5130, 매입액 : 174435, 손액 : -16554, 손익 : -9.48
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 69, 평단 : 3165, 매입액 : 218390, 손액 : -84582, 손익 : -38.72

﻿총 주문수량 : , 총 체결수량 : , 총 주문금액 : , 총 매수액 : , 총 매도액 : 
